place_id,lat,lng
1,36.8931267,128.7325885
2,37.4945268,126.9598527
3,37.5097691,126.9952698
4,37.5044868,127.0044952
5,37.5333713,127.0933675
6,37.5037208,127.0240967
7,37.5198288,126.9295353
8,37.5651105,126.9929827
9,37.5094155,127.1099873
10,37.5725045,126.9350565
11,37.4810859,127.0152453
